HymnNumber,Title,Tune,PrintedStanzaCount,VerificationStatus,VerificationSource,VerifiedBy,VerifiedDate,ReviewNote
660,"Stand Up, Stand Up for Jesus",WEBB,,PENDING,,,,
661,The Son of God Goes Forth to War,ALL SAINTS NEW,,PENDING,,,,
662,"Onward, Christian Soldiers",ST. GERTRUDE,,PENDING,,,,
663,"Rise, My Soul, to Watch and Pray",STRAF MICH NICHT,,PENDING,,,,
664,Fight the Good Fight,MENDON,,PENDING,,,,
665,Be Strong in the Lord,LAUDATE DOMINUM,,PENDING,,,,
666,"O Little Flock, Fear Not the Foe",KOMMT HER ZU MIR,,PENDING,,,,
667,"Saints, See the Cloud of Witnesses",WOJTKIEWIECZ,,PENDING,,,,
668,Rise! To Arms! With Prayer Employ You,WACHET AUF,,PENDING,,,,
669,"Come, We That Love the Lord",MARCHING TO ZION,,PENDING,,,,
670,Ye Watchers and Ye Holy Ones,LASST UNS ERFREUEN,,PENDING,,,,
671,Sing with All the Saints in Glory,MISSISSIPPI,,PENDING,,,,
672,Jerusalem the Golden,EWING,,PENDING,,,,
673,"Jerusalem, My Happy Home",LAND OF REST,,PENDING,,,,
674,"Jerusalem, O City Fair and High","JERUSALEM, DU HOCHGEBAUTE STADT",,PENDING,,,,
